"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"78",1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0
"79",0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0
"80",1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0
"81",1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"82",0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0
"83",1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0
"84",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"85",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
"86",0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0
"87",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"88",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"89",1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0
"90",1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0
"91",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1
"92",1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0
"93",0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0
"94",1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0
"95",0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"96",1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0
"97",1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0
"98",1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
"99",1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0
"100",1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0
"101",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"102",1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"103",1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0
"104",1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1
"105",0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0
"106",0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0
"107",1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
"108",1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0
"109",1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1
"110",1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0
"111",1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1
"112",1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0
"113",1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1
"114",1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0
"115",1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0
"116",1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0
"117",1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1
"118",1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1
"119",1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0
"120",1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1
"121",0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0
"122",0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0
"123",1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1
"124",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"125",1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0
"126",0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"127",1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0
"128",1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0
"129",0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0
"130",1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1
"131",1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1
"132",0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0
"133",1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0
"134",1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0
"135",0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"136",1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1
"137",1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0
"138",0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"139",0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0
"140",1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
"141",1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0
"142",1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
"143",0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1
"144",1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
"145",1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1
"146",0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
"147",0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0
"148",1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0
"149",0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"150",1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0
"151",1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
"152",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"153",1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"154",1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0
"155",0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0
"156",0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0
"157",1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0
"158",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"159",1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0
"160",0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1
"161",0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0
"162",0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0
"163",1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0
"164",1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0
"165",0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1
"166",1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
"167",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"168",1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1
"169",0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1
"170",1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0
"171",1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0
"172",1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0
"173",1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1
"174",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"175",0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1
"176",0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0
"177",0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"178",1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0
"179",1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0
"180",1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1
"181",1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0
"182",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0
"183",0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1
"184",1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0
"185",0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"186",0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"187",1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1
"188",0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0
"189",0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1
"190",1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0
"191",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"192",0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0
"193",1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"194",1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0
"195",0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"196",0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0
"197",1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0
"198",1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1
"199",0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1
"200",1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0
"201",1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0
"202",0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0
"203",0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0
"204",0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"205",0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1
"206",1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0
"207",0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
"208",1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"209",0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1
"210",1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0
"211",1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0
"212",1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0
"213",0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1
"214",0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
"215",1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1
"216",0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0
"217",1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1
"218",0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
"219",0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0
"220",1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0
"221",0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0
"222",0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"223",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"224",1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0
"225",1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
"226",0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0
"227",1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0
"228",1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0
"229",0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0
"230",1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0
"231",0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0
"232",1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0
"233",1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0
"234",0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1
"235",0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0
"236",1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0
"237",1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1
"238",1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0
"239",1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0
"240",1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
"241",1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0
"242",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
"243",0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0
"244",1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0
"245",0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
"246",1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1
"247",1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1
"248",1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0
"249",1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0
"250",1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1
"251",1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1
"252",0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0
"253",0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0
"254",1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1
"255",0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0
"256",1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0
"257",0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"258",1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0
"259",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"260",1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0
"261",0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1
"262",1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0
"263",1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0
"264",0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0
"265",0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
"266",1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"267",0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0
"268",1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0
"269",1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1
"270",1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0
"271",1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0
"272",0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0
"273",0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
"274",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
"275",1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1
"276",1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1
"277",1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0
"278",1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1
"279",1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0
"280",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"281",0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
"282",1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0
"283",0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0
"284",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
"285",1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0
"286",1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0
"287",1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"288",1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0
"289",1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0
"290",0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0
"291",1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0
"292",0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0
"293",0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0
"294",1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0
"295",0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1
"296",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"297",0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1
"298",1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1
"299",1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0
"300",1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0
"301",1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1
"302",1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1
"303",1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0
"304",0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0
"305",1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0
"306",0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1
"307",1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0
"308",0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0
"309",1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0
"310",0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0
"311",0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0
"312",1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1
"313",1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0
"314",0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0
"315",0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0
"316",1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1
"317",1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
"318",1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"319",0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1
"320",1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"321",1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0
"322",1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0
